Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,
"C2, C3, C4",0805,3,0.1uF,
C5,0805,1,10uF,
"C6, C7",0805,2,22pF,
C8,0805,1,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D7, D8, D9",D_SOD-323_HandSoldering,63,1N4148WS‎,
"R1, R4",0805,2,10K,
"R2, R3",0805,2,22K,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
