Designator,Mid X,Mid Y,Rotation,Layer
C1,339.07,-46.31,180.0,bottom
C2,335.07,-58.21,180.0,bottom
C3,318.67,-47.51,0.0,bottom
C4,323.12,-35.01,0.0,bottom
C5,333.07,-35.01,180.0,bottom
C6,328.62,-58.21,180.0,bottom
C7,322.27,-53.91,0.0,bottom
C8,329.22,-34.96,0.0,bottom
D1,33.02,-32.84125,270.0,bottom
D10,204.47,-32.84125,270.0,bottom
D11,223.52,-32.84125,270.0,bottom
D12,242.57,-32.84125,270.0,bottom
D13,261.62,-32.84125,270.0,bottom
D14,280.67,-32.84125,270.0,bottom
D15,37.7825,-51.89125,270.0,bottom
D16,61.595,-51.89125,270.0,bottom
D17,80.645,-51.89125,270.0,bottom
D18,99.695,-51.89125,270.0,bottom
D19,118.745,-51.89125,270.0,bottom
D2,52.07,-32.84125,270.0,bottom
D20,137.795,-51.89125,270.0,bottom
D21,156.845,-51.89125,270.0,bottom
D22,175.895,-51.89125,270.0,bottom
D23,194.945,-51.89125,270.0,bottom
D24,213.995,-51.89125,270.0,bottom
D25,233.045,-51.89125,270.0,bottom
D26,252.095,-51.89125,270.0,bottom
D27,271.145,-51.89125,270.0,bottom
D28,290.195,-51.89125,270.0,bottom
D29,40.16375,-70.94125,270.0,bottom
D3,71.12,-32.84125,270.0,bottom
D30,66.3575,-70.94125,270.0,bottom
D31,85.4075,-70.94125,270.0,bottom
D32,104.4575,-70.94125,270.0,bottom
D33,123.5075,-70.94125,270.0,bottom
D34,142.5575,-70.94125,270.0,bottom
D35,161.6075,-70.94125,270.0,bottom
D36,180.6575,-70.94125,270.0,bottom
D37,199.7075,-70.94125,270.0,bottom
D38,218.7575,-70.94125,270.0,bottom
D39,237.8075,-70.94125,270.0,bottom
D4,90.17,-32.84125,270.0,bottom
D40,256.8575,-70.94125,270.0,bottom
D41,275.9075,-70.94125,270.0,bottom
D42,49.68875,-89.99125,270.0,bottom
D43,75.8825,-89.99125,270.0,bottom
D44,94.9325,-89.99125,270.0,bottom
D45,113.9825,-89.99125,270.0,bottom
D46,133.0325,-89.99125,270.0,bottom
D47,152.0825,-89.99125,270.0,bottom
D48,171.1325,-89.99125,270.0,bottom
D49,190.1825,-89.99125,270.0,bottom
D5,109.22,-32.84125,270.0,bottom
D50,209.2325,-89.99125,270.0,bottom
D51,228.2825,-89.99125,270.0,bottom
D52,247.3325,-89.99125,270.0,bottom
D53,266.3825,-89.99125,270.0,bottom
D54,42.545,-109.04125,270.0,bottom
D55,66.3575,-109.04125,270.0,bottom
D56,85.4075,-109.04125,270.0,bottom
D57,161.6075,-109.04125,270.0,bottom
D58,237.8075,-109.04125,270.0,bottom
D59,261.62,-109.04125,270.0,bottom
D6,128.27,-32.84125,270.0,bottom
D60,309.245,-89.99125,270.0,bottom
D61,290.195,-109.04125,270.0,bottom
D62,309.245,-109.04125,270.0,bottom
D63,328.295,-109.04125,270.0,bottom
D7,147.32,-32.84125,270.0,bottom
D8,166.37,-32.84125,270.0,bottom
D9,185.42,-32.84125,270.0,bottom
R1,318.9075,-38.61,0.0,bottom
R2,339.1075,-41.01,0.0,bottom
R3,339.095,-43.71,180.0,bottom
R4,334.1075,-54.2225,270.0,bottom
U1,328.12,-44.31,270.0,bottom
Y1,326.52,-54.76,180.0,bottom
